Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDM39,6.42,LF,0.089498926,Dairy,178.1002,OUT010,1998,null,Tier 3,Grocery Store,358.2004
FDC46,17.7,LF,0.195068226,Snack Foods,185.4266,OUT010,1998,null,Tier 3,Grocery Store,184.4266
DRJ13,12.65,LF,0.063017847,Soft Drinks,159.0578,OUT045,2002,null,Tier 2,Supermarket Type1,2085.9514
FDR47,17.85,LF,0,Breads,196.5794,OUT010,1998,null,Tier 3,Grocery Store,585.2382
DRF36,16.1,LF,0.023625114,Soft Drinks,189.3846,OUT045,2002,null,Tier 2,Supermarket Type1,3630.6074
DRK12,9.5,LF,0.041878397,Soft Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,133.16
FDA39,6.32,LF,0,Meat,40.2822,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.1838
FDX21,null,LF,0.084554569,Snack Foods,109.8912,OUT027,1985,Medium,Tier 3,Supermarket Type3,2074.6328
DRE49,20.75,LF,0.021250002,Soft Drinks,150.5024,OUT046,1997,Small,Tier 1,Supermarket Type1,2580.6408
FDC15,18.1,LF,0.178975721,Dairy,155.5288,OUT017,2007,null,Tier 2,Supermarket Type1,1571.288
FDB11,16,LF,0.060797393,Starchy Foods,223.8404,OUT013,1987,High,Tier 3,Supermarket Type1,3600.6464
NCE43,12.5,LF,0.103422709,Household,169.9448,OUT035,2004,Small,Tier 2,Supermarket Type1,2897.5616
DRK59,8.895,LF,0.07543556,Hard Drinks,235.8616,OUT035,2004,Small,Tier 2,Supermarket Type1,3046.7008
FDE53,null,LF,0.026749991,Frozen Foods,106.928,OUT027,1985,Medium,Tier 3,Supermarket Type3,2876.256
NCX29,10,LF,0.089656812,Health and Hygiene,144.0102,OUT017,2007,null,Tier 2,Supermarket Type1,1603.9122
NCN18,8.895,LF,0.124967595,Household,112.7544,OUT045,2002,null,Tier 2,Supermarket Type1,3467.4864
FDI14,14.1,LF,0.089677773,Canned,139.8496,OUT046,1997,Small,Tier 1,Supermarket Type1,1693.7952
NCU41,18.85,LF,0.052054819,Health and Hygiene,189.1846,OUT046,1997,Small,Tier 1,Supermarket Type1,2101.9306
FDC11,null,LF,0.141106202,Starchy Foods,87.9172,OUT027,1985,Medium,Tier 3,Supermarket Type3,3836.3396
FDP24,20.6,LF,0.083133128,Baking Goods,120.1756,OUT049,1999,Medium,Tier 1,Supermarket Type1,1332.9316
NCQ05,11.395,LF,0,Health and Hygiene,151.6708,OUT013,1987,High,Tier 3,Supermarket Type1,3460.8284
FDN12,null,LF,0.08071118,Baking Goods,113.1544,OUT027,1985,Medium,Tier 3,Supermarket Type3,3355.632
FDX26,17.7,LF,0.146973462,Dairy,184.1292,OUT010,1998,null,Tier 3,Grocery Store,547.2876
FDX16,17.85,LF,0.065810045,Frozen Foods,149.105,OUT046,1997,Small,Tier 1,Supermarket Type1,2247.075
FDS35,null,LF,0.110681931,Breads,63.2826,OUT027,1985,Medium,Tier 3,Supermarket Type3,1033.3216
FDN21,null,LF,0.076483451,Snack Foods,163.1236,OUT027,1985,Medium,Tier 3,Supermarket Type3,2416.854
NCO06,19.25,LF,0.108010006,Household,33.3558,OUT035,2004,Small,Tier 2,Supermarket Type1,713.0718
FDI45,13.1,LF,0.037549969,Fruits and Vegetables,176.1054,OUT013,1987,High,Tier 3,Supermarket Type1,4027.4242
FDW08,null,LF,0.147663025,Fruits and Vegetables,106.028,OUT027,1985,Medium,Tier 3,Supermarket Type3,1810.976
NCW42,18.2,LF,0.058799705,Household,220.7456,OUT017,2007,null,Tier 2,Supermarket Type1,4420.912
NCM06,7.475,LF,0.075881475,Household,155.2656,OUT045,2002,null,Tier 2,Supermarket Type1,2934.8464
NCJ30,5.82,LF,0.081096613,Household,170.379,OUT017,2007,null,Tier 2,Supermarket Type1,1018.674
NCO43,5.5,LF,0,Others,103.1016,OUT045,2002,null,Tier 2,Supermarket Type1,2024.032
FDR48,11.65,LF,0,Baking Goods,152.6024,OUT035,2004,Small,Tier 2,Supermarket Type1,303.6048
FDN44,13.15,LF,0.022924552,Fruits and Vegetables,157.892,OUT017,2007,null,Tier 2,Supermarket Type1,1917.504
FDB51,6.92,LF,0.038671588,Dairy,64.2852,OUT017,2007,null,Tier 2,Supermarket Type1,438.0964
FDE29,8.905,LF,0.143129124,Frozen Foods,58.8878,OUT046,1997,Small,Tier 1,Supermarket Type1,1151.1682
